,action,value
2021-06-14,DIVIDEND,0.71
2021-03-12,DIVIDEND,0.71
2020-12-14,DIVIDEND,0.71
2020-09-14,DIVIDEND,0.64
2020-06-12,DIVIDEND,0.64
2020-03-12,DIVIDEND,0.64
2019-12-12,DIVIDEND,0.64
2019-09-12,DIVIDEND,0.57
2019-06-13,DIVIDEND,0.57
2019-03-14,DIVIDEND,0.57
2018-12-13,DIVIDEND,0.57
2018-09-13,DIVIDEND,0.52
2018-06-14,DIVIDEND,0.52
2018-03-14,DIVIDEND,0.52
2017-12-14,DIVIDEND,0.52
2017-09-14,DIVIDEND,0.47
2017-06-13,DIVIDEND,0.47
2017-03-13,DIVIDEND,0.47
2016-12-13,DIVIDEND,0.47
2016-09-13,DIVIDEND,0.41
