,action,value
2020-03-12,DIVIDEND,0.05
2019-12-05,DIVIDEND,0.05
2019-09-12,DIVIDEND,0.05
2019-06-13,DIVIDEND,0.05
2019-03-14,DIVIDEND,0.05
2018-12-06,DIVIDEND,0.05
2018-09-13,DIVIDEND,0.05
2018-06-14,DIVIDEND,0.05
2018-03-15,DIVIDEND,0.05
2017-12-07,DIVIDEND,0.05
2017-09-14,DIVIDEND,0.05
2017-06-14,DIVIDEND,0.05
2017-03-15,DIVIDEND,0.05
2016-11-30,DIVIDEND,0.05
2016-09-14,DIVIDEND,0.05
