,action,value
2021-06-16,DIVIDEND,0.15
2021-03-17,DIVIDEND,0.15
2020-12-17,DIVIDEND,0.15
2020-09-16,DIVIDEND,0.15
2020-06-16,DIVIDEND,0.15
2020-03-17,DIVIDEND,0.15
2019-12-17,DIVIDEND,0.15
2019-09-16,DIVIDEND,0.15
2019-06-14,DIVIDEND,0.14
2019-03-15,DIVIDEND,0.14
2018-12-17,DIVIDEND,0.14
2018-09-14,DIVIDEND,0.14
2018-06-15,DIVIDEND,0.11
2018-03-28,DIVIDEND,0.11
2018-03-16,DIVIDEND,0.11
2017-12-15,DIVIDEND,0.11
2017-09-15,DIVIDEND,0.08
2017-06-15,DIVIDEND,0.08
2017-03-16,DIVIDEND,0.08
2016-12-16,DIVIDEND,0.08
2016-09-15,DIVIDEND,0.07
