,action,value
2021-07-01,DIVIDEND,1.4
2021-04-08,DIVIDEND,1.3
2020-12-23,DIVIDEND,1.3
2020-10-08,DIVIDEND,1.3
2020-07-09,DIVIDEND,1.3
2020-02-13,DIVIDEND,2.1
2019-11-14,DIVIDEND,2.1
2019-08-15,DIVIDEND,2.1
2019-05-16,DIVIDEND,2.05
2019-02-13,DIVIDEND,2.05
2018-11-15,DIVIDEND,2.0
2018-08-16,DIVIDEND,2.0
2018-05-16,DIVIDEND,1.95
2018-02-13,DIVIDEND,1.95
2017-11-15,DIVIDEND,1.85
2017-08-15,DIVIDEND,1.8
2017-05-15,DIVIDEND,1.75
2017-02-10,DIVIDEND,1.75
2016-11-14,DIVIDEND,1.65
